PROYECTO,EMPLAZAMIENTO,ID PROPIETARIO,ZONA DE CONCURRENCIA,LONGITUD,LATITUD,CODIGO MUNICIPIO 
TSI-068100-2024-0053,08_08025_001622,0000000-0800333,Barcelona,1.75163930_ ,41.59258678_ ,8025
TSI-068100-2024-0053,08_08191_003718,0000000-0808078,Barcelona,1.88158584_ ,41.77959521_ ,8191
TSI-068100-2024-0053,08_08097_003714,0000000-0808741,Barcelona,2.52669110_ ,41.70957646_ ,8097
TSI-068100-2024-0053,08_08140_003715,0000000-0808980,Barcelona,1.91159643_ ,41.74548005_ ,8140
TSI-068100-2024-0053,08_08032_001645,0000000-0808979,Barcelona,2.52205728_ ,41.57370494_ ,8032
TSI-068100-2024-0053,08_08306_003566,0000000-0808976,Barcelona,2.46269603_ ,41.64295194_ ,8306
TSI-068100-2024-0053,08_08259_003273,0000000-0808977,Barcelona,2.45413943_ ,41.67309542_ ,8259
TSI-068100-2024-0100,09_09272_000445,0000000-0900362,Burgos,-3.52891776_ ,42.66173731_ ,9272
TSI-068100-2024-0100,09_09415_000591,0000000-0900076,Burgos,-4.05059594_ ,42.72690624_ ,9415
TSI-068100-2024-0100,09_09353_000497,0000000-0900020,Burgos,-3.19214429_ ,42.63400618_ ,9353
